Station,Data Acquisition Time,Latitude,Longitude,Groundwater Level Telemetry 6 Hourly (meter),RL_MSL,time_diff,Year,Month,Day,Hour,DayOfWeek,WeekOfYear,Quarter,IsWeekend,Lag_1,Lag_4,Lag_28,RollingMean_4,RollingStd_4,Hour_sin,Hour_cos,Month_sin,Month_cos,Station_ID
Adakamaranahalli,2021-10-06 00:00:00,13.07,77.45,-22.5,849.0,1 days 06:00:00,2021,10,6,0,2,40,4,0,-22.71,-22.34,-22.51,-22.8625,0.4192354151706821,0.0,1.0,-1.0,-1.8369701987210297e-16,0
Adakamaranahalli,2021-10-06 06:00:00,13.07,77.45,-22.83,849.0,0 days 06:00:00,2021,10,6,6,2,40,4,0,-22.5,-23.16,-22.87,-22.9025,0.3555629339512219,1.0,6.123233995736766e-17,-1.0,-1.8369701987210297e-16,0
Adakamaranahalli,2021-10-06 12:00:00,13.07,77.45,-22.88,849.0,0 days 06:00:00,2021,10,6,12,2,40,4,0,-22.83,-23.24,-23.23,-22.82,0.3114482300479491,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,0
Adakamaranahalli,2021-10-06 18:00:00,13.07,77.45,-22.52,849.0,0 days 06:00:00,2021,10,6,18,2,40,4,0,-22.88,-22.71,-22.66,-22.73,0.16911534525287722,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0
Adakamaranahalli,2021-10-07 00:00:00,13.07,77.45,-22.35,849.0,0 days 06:00:00,2021,10,7,0,3,40,4,0,-22.52,-22.5,-22.46,-22.682499999999997,0.20039544239660953,0.0,1.0,-1.0,-1.8369701987210297e-16,0
Adakamaranahalli,2021-10-07 06:00:00,13.07,77.45,-22.98,849.0,0 days 06:00:00,2021,10,7,6,3,40,4,0,-22.35,-22.83,-23.42,-22.645,0.25304808502206066,1.0,6.123233995736766e-17,-1.0,-1.8369701987210297e-16,0
Adakamaranahalli,2021-10-07 12:00:00,13.07,77.45,-23.29,849.0,0 days 06:00:00,2021,10,7,12,3,40,4,0,-22.98,-22.88,-22.74,-22.682499999999997,0.29691469032928053,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,0
Adakamaranahalli,2021-10-07 18:00:00,13.07,77.45,-22.61,849.0,0 days 06:00:00,2021,10,7,18,3,40,4,0,-23.29,-22.52,-22.53,-22.785,0.429146439652791,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0
Adakamaranahalli,2021-10-08 00:00:00,13.07,77.45,-22.38,849.0,0 days 06:00:00,2021,10,8,0,4,40,4,0,-22.61,-22.35,-22.38,-22.8075,0.412664108769671,0.0,1.0,-1.0,-1.8369701987210297e-16,0
Adakamaranahalli,2021-10-08 06:00:00,13.07,77.45,-22.89,849.0,0 days 06:00:00,2021,10,8,6,4,40,4,0,-22.38,-22.98,-22.91,-22.814999999999998,0.40170470082719695,1.0,6.123233995736766e-17,-1.0,-1.8369701987210297e-16,0
