_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Telemetry 6 Hourly (meter)
4553464,4553464,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,22-11-2022 12:00,-24.029
4553465,4553465,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,22-11-2022 18:00,-24.054
4553466,4553466,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,23-11-2022 00:00,-24.047
4553467,4553467,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,23-11-2022 06:00,-24.095
4553468,4553468,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,23-11-2022 12:00,-24.12
4553469,4553469,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,23-11-2022 18:00,-24.136
4553470,4553470,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,24-11-2022 00:00,-24.119
4553471,4553471,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,24-11-2022 06:00,-24.14
4553472,4553472,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,24-11-2022 12:00,-24.116
4553473,4553473,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,24-11-2022 18:00,-24.13
4553474,4553474,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,25-11-2022 00:00,-24.105
4553475,4553475,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,25-11-2022 06:00,-24.102
4553476,4553476,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,25-11-2022 12:00,-24.102
4553477,4553477,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,25-11-2022 18:00,-24.11
4553478,4553478,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,26-11-2022 00:00,-24.103
4553479,4553479,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,26-11-2022 06:00,-24.133
4553480,4553480,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,26-11-2022 12:00,1
4553481,4553481,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,26-11-2022 18:00,-24.182
4553482,4553482,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,27-11-2022 00:00,-24.189
4553483,4553483,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,27-11-2022 06:00,-24.193
4553484,4553484,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,27-11-2022 12:00,1
4553485,4553485,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,27-11-2022 18:00,-24.208
4553486,4553486,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,28-11-2022 00:00,-24.209
4553487,4553487,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,28-11-2022 06:00,-24.251
4553488,4553488,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,28-11-2022 12:00,-24.29
4553489,4553489,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,28-11-2022 18:00,1
4553490,4553490,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,30-11-2022 00:00,-24.259
4553491,4553491,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,30-11-2022 06:00,-24.27
4553492,4553492,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,30-11-2022 12:00,1
4553493,4553493,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,30-11-2022 18:00,-24.249
4553494,4553494,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,03-12-2022 00:00,-24.415
4553495,4553495,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,03-12-2022 06:00,-24.449
4553496,4553496,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,03-12-2022 12:00,-24.449
4553497,4553497,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,03-12-2022 18:00,-24.475
4553498,4553498,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,05-12-2022 00:00,-24.514
4553499,4553499,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,05-12-2022 06:00,-24.523
4553500,4553500,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,05-12-2022 12:00,-24.51
4553501,4553501,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,05-12-2022 18:00,1
4553502,4553502,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,06-12-2022 00:00,-24.526
4553503,4553503,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,06-12-2022 06:00,1
4553504,4553504,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,06-12-2022 12:00,-24.576
4553505,4553505,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,06-12-2022 18:00,-24.588
4553506,4553506,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,07-12-2022 00:00,-24.542
4553507,4553507,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,07-12-2022 06:00,-24.559
4553508,4553508,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,07-12-2022 12:00,-24.554
4553509,4553509,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,07-12-2022 18:00,-24.57
4553510,4553510,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,08-12-2022 00:00,1
4553511,4553511,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,08-12-2022 06:00,-24.57
4553512,4553512,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,08-12-2022 12:00,-24.567
4553513,4553513,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,08-12-2022 18:00,-24.568
4553514,4553514,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,09-12-2022 00:00,-24.545
4553515,4553515,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,09-12-2022 06:00,-24.534
4553516,4553516,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,09-12-2022 12:00,-24.546
4553517,4553517,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,09-12-2022 18:00,-24.559
4553518,4553518,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,10-12-2022 00:00,-24.541
4553519,4553519,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,10-12-2022 06:00,-24.537
4553520,4553520,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,10-12-2022 12:00,-24.516
4553521,4553521,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,10-12-2022 18:00,-24.505
4553522,4553522,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,11-12-2022 00:00,-24.518
4553523,4553523,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,11-12-2022 06:00,-24.541
