Feature,Coefficient,Abs_Coefficient
Longitude,6.655010409128394,6.655010409128394
Latitude,4.193280440259455,4.193280440259455
RollingMean_4,0.6185057867001746,0.6185057867001746
Hour_cos,0.4353625378832059,0.4353625378832059
Hour_sin,-0.31691046813629603,0.31691046813629603
RollingStd_4,-0.2287021887866386,0.2287021887866386
Lag_1,0.2059964514971501,0.2059964514971501
Month_cos,-0.20011006748094806,0.20011006748094806
Quarter,-0.1997017790579883,0.1997017790579883
Month_sin,-0.16246395102328565,0.16246395102328565
Lag_28,0.11679938796560196,0.11679938796560196
Year,0.052915890394789125,0.052915890394789125
IsWeekend,-0.05082180358504297,0.05082180358504297
Lag_4,0.047738689356147085,0.047738689356147085
Station_ID,-0.045963381263550984,0.045963381263550984
DayOfWeek,0.03758191053377588,0.03758191053377588
Month,0.03253402565538688,0.03253402565538688
WeekOfYear,0.019494371737603263,0.019494371737603263
RL_MSL,-0.015230287562513196,0.015230287562513196
Hour,0.007732850370515709,0.007732850370515709
Day,-0.0033857316104355566,0.0033857316104355566
