Feature,Importance_Mean,Importance_STD
RollingMean_4,0.7381297667140692,0.0031372195851819464
Lag_1,0.08536412109797173,0.0004870823142033189
Lag_28,0.027321236786243285,0.00023873414272261806
Lag_4,0.004689916827444063,7.628013666680607e-05
RollingStd_4,0.004681747643897094,6.227608620482996e-05
Longitude,0.0006825149877685455,3.698999559795716e-05
Latitude,0.00028161746120881627,1.4401769885940415e-05
RL_MSL,0.00025713241160449927,2.62662693592515e-05
WeekOfYear,0.00010490468483584925,9.475825577764509e-06
Hour_cos,9.237236168411212e-05,1.3558933693503516e-05
Quarter,6.624395439169817e-05,6.596076130165633e-06
Hour_sin,5.6828983553558475e-05,7.621642256667028e-06
Station_ID,5.392999494429063e-05,1.224876120327206e-05
Month_cos,2.2430106770132686e-05,4.536866220552592e-06
Month_sin,1.7111620497967107e-05,2.974254288511676e-06
Month,1.468598985109315e-05,3.4150769185850533e-06
Hour,5.328774965074334e-06,1.7318886565441234e-06
DayOfWeek,5.293971267628095e-06,3.1444322749759453e-06
Year,3.3690108844353084e-06,4.673247958190067e-06
Day,1.3862642113782187e-06,7.589698514230546e-07
IsWeekend,5.70543036237936e-07,8.848740130171212e-07
